Unit ID,Unit Visit Gkey,Actual Outbound Carrier visit ID,Current Yard Block,Current Slot Position,Move Complete Time
HLCU6010021,3135695,8YF180216,CWIT-4D,Y-CWIT-4D165G.1,05/28/2026 05:45
GCXU6008800,3135690,8YF180216,CWIT-4D,Y-CWIT-4D836B.6,05/28/2026 05:43
TRLU6015145,3135688,8YF180216,CWIT-4D,Y-CWIT-4D959C.1,05/28/2026 05:42
MAEU6012678,3135686,8YF180216,CWIT-4D,Y-CWIT-4D970A.1,05/28/2026 05:41
TRLU6009703,3135684,8YF180216,CWIT-2A,Y-CWIT-2A985F.1,05/28/2026 05:40
TRLU6015690,3135682,8YF180216,CWIT-4D,Y-CWIT-4D288A.5,05/28/2026 05:39
GCXU6016069,3135681,8YF180216,CWIT-4D,Y-CWIT-4D038C.5,05/28/2026 05:39
CMAU6013249,3135679,8YF180216,CWIT-4D,Y-CWIT-4D541A.3,05/28/2026 05:38
OOLU6016068,3135680,8YF180216,CWIT-4D,Y-CWIT-4D657D.2,05/28/2026 05:38
HLCU6012342,3135678,8YF180216,CWIT-4D,Y-CWIT-4D760B.1,05/28/2026 05:37
TRLU6016035,3135677,8YF180216,CWIT-4D,Y-CWIT-4D611A.5,05/28/2026 05:37
TRLU6009694,3135674,8YF180216,CWIT-4D,Y-CWIT-4D668H.6,05/28/2026 05:35
MAEU6013604,3135673,8YF180216,CWIT-4D,Y-CWIT-4D626N.1,05/28/2026 05:35
ONEY6008571,3135672,8YF180216,CWIT-4D,Y-CWIT-4D618M.5,05/28/2026 05:34
MAEU6013094,3135671,8YF180216,CWIT-4D,Y-CWIT-4D977D.4,05/28/2026 05:34
ONEY6012535,3135668,8YF180216,CWIT-4D,Y-CWIT-4D977M.1,05/28/2026 05:33
HLCU6014908,3135669,8YF180216,CWIT-4D,Y-CWIT-4D721G.3,05/28/2026 05:33
OOLU6013290,3135666,8YF180216,CWIT-3A,Y-CWIT-3A353H.1,05/28/2026 05:32
CMAU6010156,3135665,8YF180216,CWIT-4D,Y-CWIT-4D823J.5,05/28/2026 05:31
ONEY6013147,3135664,8YF180216,CWIT-4D,Y-CWIT-4D782F.1,05/28/2026 05:31
HLCU6009660,3135662,8YF180216,CWIT-4D,Y-CWIT-4D051M.3,05/28/2026 05:30
HLCU6016067,3135663,8YF180216,CWIT-4D,Y-CWIT-4D795B.5,05/28/2026 05:30
TRLU6009464,3135660,8YF180216,CWIT-5D,Y-CWIT-5D121K.2,05/28/2026 05:29
OOLU6012645,3135661,8YF180216,CWIT-1B,Y-CWIT-1B579E.5,05/28/2026 05:29
MAEU6008361,3135657,8YF180216,CWIT-4D,Y-CWIT-4D873N.1,05/28/2026 05:27
MSCU6010476,3135655,8YF180216,CWIT-4D,Y-CWIT-4D725J.5,05/28/2026 05:26
ONEY6008872,3135652,8YF180216,CWIT-4D,Y-CWIT-4D510H.2,05/28/2026 05:25
OOLU6008712,3135651,8YF180216,CWIT-4D,Y-CWIT-4D041H.3,05/28/2026 05:24
MSCU6011966,3135650,8YF180216,CWIT-4D,Y-CWIT-4D096D.1,05/28/2026 05:24
CMAU6009798,3135648,8YF180216,CWIT-4D,Y-CWIT-4D148C.2,05/28/2026 05:23
CMAU6012281,3135649,8YF180216,CWIT-1B,Y-CWIT-1B963C.1,05/28/2026 05:23
ONEY6015349,3135647,8YF180216,CWIT-4D,Y-CWIT-4D476A.1,05/28/2026 05:22
ONEY6013192,3135641,8YF180216,CWIT-3A,Y-CWIT-3A385G.4,05/28/2026 05:20
MAEU6015889,3135642,8YF180216,CWIT-4D,Y-CWIT-4D331B.1,05/28/2026 05:20
ONEY6009699,3135764,8YF180240,CWIT-2A,Y-CWIT-2A131H.3,05/28/2026 03:13
OOLU6013228,3135762,8YF180240,CWIT-2A,Y-CWIT-2A386F.4,05/28/2026 03:09
MSCU6016020,3135761,8YF180240,CWIT-2A,Y-CWIT-2A835C.6,05/28/2026 03:07
MAEU6008163,3135760,8YF180240,CWIT-2A,Y-CWIT-2A462A.2,05/28/2026 03:05
TRLU6009214,3135759,8YF180240,CWIT-2A,Y-CWIT-2A567F.6,05/28/2026 03:03
HLCU6012331,3135758,8YF180240,CWIT-3A,Y-CWIT-3A718M.6,05/28/2026 03:01
OOLU6012220,3135756,8YF180240,CWIT-2A,Y-CWIT-2A737B.6,05/28/2026 02:57
OOLU6014052,3135754,8YF180240,CWIT-4D,Y-CWIT-4D228J.5,05/28/2026 02:53
OOLU6016073,3135753,8YF180240,CWIT-2A,Y-CWIT-2A879H.4,05/28/2026 02:51
MAEU6013236,3135294,8YF180372,CWIT-5D,Y-CWIT-5D827G.1,05/27/2026 22:58
HLCU6016021,3135293,8YF180372,CWIT-4D,Y-CWIT-4D491D.3,05/27/2026 22:57
ONEY6011269,3135288,8YF180372,CWIT-2A,Y-CWIT-2A431M.1,05/27/2026 22:54
MSCU6016019,3135283,8YF180372,CWIT-4D,Y-CWIT-4D793L.5,05/27/2026 22:50
MAEU6016018,3135280,8YF180372,CWIT-4D,Y-CWIT-4D140H.4,05/27/2026 22:48
ONEY6014587,3135278,8YF180372,CWIT-4D,Y-CWIT-4D114A.6,05/27/2026 22:47
MAEU6015136,3135275,8YF180372,CWIT-5D,Y-CWIT-5D277N.2,05/27/2026 22:45
HLCU6012918,3135273,8YF180372,CWIT-4D,Y-CWIT-4D495D.5,05/27/2026 22:43
CMAU6016017,3135270,8YF180372,CWIT-4D,Y-CWIT-4D524L.5,05/27/2026 22:41
TRLU6013423,3135268,8YF180372,CWIT-4D,Y-CWIT-4D270H.4,05/27/2026 22:40
CMAU6010527,3135267,8YF180372,CWIT-4D,Y-CWIT-4D721H.4,05/27/2026 22:39
MSCU6011821,3135264,8YF180372,CWIT-5D,Y-CWIT-5D713A.5,05/27/2026 22:37
OOLU6014776,3135262,8YF180372,CWIT-4D,Y-CWIT-4D026K.1,05/27/2026 22:36
GCXU6011228,3135258,8YF180372,CWIT-4D,Y-CWIT-4D013K.2,05/27/2026 22:33
GCXU6008883,3135253,8YF180372,CWIT-3D,Y-CWIT-3D001B.2,05/27/2026 22:30
MSCU6014821,3135250,8YF180372,CWIT-1B,Y-CWIT-1B269K.1,05/27/2026 22:28
MAEU6008717,3135249,8YF180372,CWIT-4D,Y-CWIT-4D798M.2,05/27/2026 22:27
CMAU6010118,3135247,8YF180372,CWIT-1B,Y-CWIT-1B518C.2,05/27/2026 22:25
CMAU6013285,3135245,8YF180372,CWIT-3A,Y-CWIT-3A240E.6,05/27/2026 22:24
TRLU6013401,3135238,8YF180372,CWIT-3A,Y-CWIT-3A979N.3,05/27/2026 22:19
HLCU6009154,3135233,8YF180372,CWIT-3A,Y-CWIT-3A878B.5,05/27/2026 22:16
ONEY6013908,3135230,8YF180372,CWIT-3A,Y-CWIT-3A770K.4,05/27/2026 22:14
OOLU6016016,3135229,8YF180372,CWIT-3A,Y-CWIT-3A489C.3,05/27/2026 22:13
MSCU6013280,3135228,8YF180372,CWIT-3A,Y-CWIT-3A880J.4,05/27/2026 22:12
CMAU6013779,3135226,8YF180372,CWIT-3D,Y-CWIT-3D754A.2,05/27/2026 22:11
HLCU6011514,3135225,8YF180372,CWIT-3A,Y-CWIT-3A122K.1,05/27/2026 22:10
OOLU6011788,3135224,8YF180372,CWIT-3A,Y-CWIT-3A342K.4,05/27/2026 22:10
ONEY6009885,3134927,CMA180360,CWIT-4B,Y-CWIT-4B010B.5,05/27/2026 19:09
CMAU6015858,3134926,CMA180360,CWIT-4B,Y-CWIT-4B737K.6,05/27/2026 19:09
OOLU6011613,3134925,CMA180360,CWIT-4B,Y-CWIT-4B661E.1,05/27/2026 19:08
MSCU6015375,3134924,CMA180360,CWIT-1B,Y-CWIT-1B834L.3,05/27/2026 19:08
OOLU6015334,3134923,CMA180360,CWIT-4B,Y-CWIT-4B492B.6,05/27/2026 19:07
GCXU6009613,3134921,CMA180360,CWIT-4B,Y-CWIT-4B153J.1,05/27/2026 19:06
OOLU6015753,3134918,CMA180360,CWIT-1B,Y-CWIT-1B546J.6,05/27/2026 19:05
MSCU6014515,3134916,CMA180360,CWIT-2A,Y-CWIT-2A557N.4,05/27/2026 19:04
HLCU6012292,3134914,CMA180360,CWIT-4B,Y-CWIT-4B681E.1,05/27/2026 19:03
MAEU6013539,3134915,CMA180360,CWIT-4B,Y-CWIT-4B139J.3,05/27/2026 19:03
MAEU6011019,3134912,CMA180360,CWIT-3D,Y-CWIT-3D692J.3,05/27/2026 19:02
HLCU6014264,3134911,CMA180360,CWIT-4B,Y-CWIT-4B663A.6,05/27/2026 19:01
CMAU6013239,3134907,CMA180360,CWIT-3A,Y-CWIT-3A132G.6,05/27/2026 18:59
MAEU6015981,3134906,CMA180360,CWIT-4B,Y-CWIT-4B510E.1,05/27/2026 18:58
OOLU6009155,3134903,CMA180360,CWIT-5D,Y-CWIT-5D226L.4,05/27/2026 18:57
GCXU6013476,3134904,CMA180360,CWIT-4B,Y-CWIT-4B909D.1,05/27/2026 18:57
GCXU6010251,3134902,CMA180360,CWIT-3A,Y-CWIT-3A196M.2,05/27/2026 18:56
ONEY6013084,3134901,CMA180360,CWIT-4B,Y-CWIT-4B241B.3,05/27/2026 18:56
OOLU6010928,3134899,CMA180360,CWIT-4B,Y-CWIT-4B684C.3,05/27/2026 18:55
TRLU6011535,3134897,CMA180360,CWIT-4B,Y-CWIT-4B569F.2,05/27/2026 18:54
OOLU6012211,3134896,CMA180360,CWIT-5D,Y-CWIT-5D809C.6,05/27/2026 18:53
HLCU6015980,3134894,CMA180360,CWIT-4B,Y-CWIT-4B453K.1,05/27/2026 18:52
CMAU6010244,3134892,CMA180360,CWIT-4B,Y-CWIT-4B076E.6,05/27/2026 18:51
ONEY6015979,3134893,CMA180360,CWIT-4B,Y-CWIT-4B294E.2,05/27/2026 18:51
OOLU6010717,3134882,CMA180360,CWIT-2A,Y-CWIT-2A730L.5,05/27/2026 18:46
OOLU6011489,3134883,CMA180360,CWIT-4B,Y-CWIT-4B378F.4,05/27/2026 18:46
HLCU6011373,3134878,CMA180360,CWIT-4B,Y-CWIT-4B846K.4,05/27/2026 18:44
ONEY6011979,3134877,CMA180360,CWIT-4B,Y-CWIT-4B026H.2,05/27/2026 18:43
CMAU6008813,3134876,CMA180360,CWIT-3D,Y-CWIT-3D726M.4,05/27/2026 18:42
CMAU6012044,3134874,CMA180360,CWIT-3D,Y-CWIT-3D666J.6,05/27/2026 18:42
TRLU6013454,3134873,CMA180360,CWIT-5D,Y-CWIT-5D692N.1,05/27/2026 18:41
CMAU6011974,3134871,CMA180360,CWIT-3D,Y-CWIT-3D989M.3,05/27/2026 18:40
MSCU6012972,3134869,CMA180360,CWIT-4D,Y-CWIT-4D304N.1,05/27/2026 18:39
OOLU6010340,3134868,CMA180360,CWIT-3D,Y-CWIT-3D700L.2,05/27/2026 18:38
OOLU6012475,3134867,CMA180360,CWIT-3D,Y-CWIT-3D370H.1,05/27/2026 18:38
MSCU6008358,3134865,CMA180360,CWIT-3D,Y-CWIT-3D668K.2,05/27/2026 18:37
ONEY6008429,3134866,CMA180360,CWIT-1B,Y-CWIT-1B403K.5,05/27/2026 18:37
MSCU6015977,3134864,CMA180360,CWIT-3D,Y-CWIT-3D395E.5,05/27/2026 18:36
MSCU6015976,3134862,CMA180360,CWIT-3D,Y-CWIT-3D626M.6,05/27/2026 18:35
OOLU6011588,3134859,CMA180360,CWIT-3D,Y-CWIT-3D134H.4,05/27/2026 18:34
HLCU6011150,3134858,CMA180360,CWIT-3D,Y-CWIT-3D090F.6,05/27/2026 18:33
GCXU6010431,3134857,CMA180360,CWIT-4D,Y-CWIT-4D082K.4,05/27/2026 18:32
TRLU6015748,3134855,CMA180360,CWIT-4D,Y-CWIT-4D499J.4,05/27/2026 18:32
HLCU6015890,3134856,CMA180360,CWIT-2A,Y-CWIT-2A678C.4,05/27/2026 18:32
ONEY6013230,3134854,CMA180360,CWIT-2A,Y-CWIT-2A196F.6,05/27/2026 18:31
OOLU6013327,3134852,CMA180360,CWIT-3A,Y-CWIT-3A061N.6,05/27/2026 18:30
MSCU6008779,3134850,CMA180360,CWIT-3D,Y-CWIT-3D981K.4,05/27/2026 18:29
OOLU6008687,3134851,CMA180360,CWIT-3D,Y-CWIT-3D959J.5,05/27/2026 18:29
TRLU6015719,3134849,CMA180360,CWIT-3A,Y-CWIT-3A368G.2,05/27/2026 18:28
ONEY6009291,3134847,CMA180360,CWIT-3D,Y-CWIT-3D540D.5,05/27/2026 18:27
CMAU6014465,3134846,CMA180360,CWIT-1B,Y-CWIT-1B215A.1,05/27/2026 18:27
ONEY6009263,3134844,CMA180360,CWIT-3D,Y-CWIT-3D850C.1,05/27/2026 18:26
OOLU6015155,3134845,CMA180360,CWIT-3D,Y-CWIT-3D973M.1,05/27/2026 18:26
MSCU6014630,3135640,8YF180216,CWIT-3A,Y-CWIT-3A947C.5,05/27/2026 15:46
ONEY6012021,3135638,8YF180216,CWIT-3A,Y-CWIT-3A618B.2,05/27/2026 15:45
MAEU6014783,3135637,8YF180216,CWIT-3A,Y-CWIT-3A291N.6,05/27/2026 15:44
ONEY6013839,3135635,8YF180216,CWIT-5D,Y-CWIT-5D108A.2,05/27/2026 15:43
CMAU6015070,3135634,8YF180216,CWIT-3A,Y-CWIT-3A419G.4,05/27/2026 15:43
MSCU6014558,3135633,8YF180216,CWIT-2A,Y-CWIT-2A403F.6,05/27/2026 15:42
GCXU6014452,3135631,8YF180216,CWIT-3A,Y-CWIT-3A944H.4,05/27/2026 15:41
ONEY6011242,3135629,8YF180216,CWIT-3A,Y-CWIT-3A084D.4,05/27/2026 15:40
ONEY6012459,3135628,8YF180216,CWIT-3A,Y-CWIT-3A202L.1,05/27/2026 15:40
OOLU6016066,3135625,8YF180216,CWIT-3A,Y-CWIT-3A488C.4,05/27/2026 15:38
MSCU6016065,3135623,8YF180216,CWIT-3A,Y-CWIT-3A187K.1,05/27/2026 15:37
CMAU6015223,3135621,8YF180216,CWIT-1B,Y-CWIT-1B511H.5,05/27/2026 15:36
GCXU6009807,3135617,8YF180216,CWIT-3A,Y-CWIT-3A605B.1,05/27/2026 15:35
OOLU6011690,3135618,8YF180216,CWIT-3A,Y-CWIT-3A249L.4,05/27/2026 15:35
OOLU6016063,3135616,8YF180216,CWIT-3A,Y-CWIT-3A452F.1,05/27/2026 15:34
MSCU6014187,3135614,8YF180216,CWIT-3A,Y-CWIT-3A221G.1,05/27/2026 15:33
CMAU6014678,3135611,8YF180216,CWIT-1B,Y-CWIT-1B562J.1,05/27/2026 15:32
GCXU6015348,3135612,8YF180216,CWIT-2A,Y-CWIT-2A260H.1,05/27/2026 15:32
MSCU6010602,3135610,8YF180216,CWIT-3A,Y-CWIT-3A224A.4,05/27/2026 15:31
TRLU6010679,3135609,8YF180216,CWIT-3A,Y-CWIT-3A513M.5,05/27/2026 15:31
MAEU6011342,3135608,8YF180216,CWIT-3A,Y-CWIT-3A932D.3,05/27/2026 15:30
MAEU6015725,3135606,8YF180216,CWIT-3A,Y-CWIT-3A939K.3,05/27/2026 15:29
MAEU6013925,3135603,8YF180216,CWIT-4D,Y-CWIT-4D721N.4,05/27/2026 15:28
MSCU6016061,3135602,8YF180216,CWIT-3A,Y-CWIT-3A832C.3,05/27/2026 15:28
CMAU6016062,3135604,8YF180216,CWIT-3A,Y-CWIT-3A339N.2,05/27/2026 15:28
GCXU6016060,3135598,8YF180216,CWIT-3A,Y-CWIT-3A355J.5,05/27/2026 15:26
MSCU6013465,3135595,8YF180216,CWIT-3A,Y-CWIT-3A769C.1,05/27/2026 15:24
GCXU6010898,3135594,8YF180216,CWIT-3A,Y-CWIT-3A253D.2,05/27/2026 15:23
OOLU6012940,3135593,8YF180216,CWIT-3A,Y-CWIT-3A859C.5,05/27/2026 15:23
MSCU6014127,3135592,8YF180216,CWIT-1B,Y-CWIT-1B596H.5,05/27/2026 15:23
OOLU6010786,3135590,8YF180216,CWIT-3A,Y-CWIT-3A265E.2,05/27/2026 15:22
CMAU6008286,3135586,8YF180216,CWIT-4D,Y-CWIT-4D505G.1,05/27/2026 15:20
GCXU6011759,3135585,8YF180216,CWIT-3A,Y-CWIT-3A729D.3,05/27/2026 15:19
OOLU6016059,3135582,8YF180216,CWIT-3A,Y-CWIT-3A725E.6,05/27/2026 15:18
ONEY6009729,3135581,8YF180216,CWIT-3A,Y-CWIT-3A720N.6,05/27/2026 15:17
MAEU6013592,3135580,8YF180216,CWIT-3A,Y-CWIT-3A175C.5,05/27/2026 15:17
GCXU6009542,3135577,8YF180216,CWIT-3A,Y-CWIT-3A421A.1,05/27/2026 15:16
MAEU6014252,3135579,8YF180216,CWIT-3A,Y-CWIT-3A072J.1,05/27/2026 15:16
OOLU6016058,3135576,8YF180216,CWIT-3A,Y-CWIT-3A320H.6,05/27/2026 15:15
OOLU6011301,3135573,8YF180216,CWIT-3A,Y-CWIT-3A050A.1,05/27/2026 15:14
ONEY6016056,3135574,8YF180216,CWIT-3A,Y-CWIT-3A238H.4,05/27/2026 15:14
GCXU6016057,3135575,8YF180216,CWIT-3A,Y-CWIT-3A470F.4,05/27/2026 15:14
MAEU6009993,3135572,8YF180216,CWIT-3A,Y-CWIT-3A589A.4,05/27/2026 15:13
TRLU6014571,3135571,8YF180216,CWIT-3A,Y-CWIT-3A511M.1,05/27/2026 15:12
OOLU6015180,3135570,8YF180216,CWIT-3A,Y-CWIT-3A698L.4,05/27/2026 15:12
MSCU6016055,3135569,8YF180216,CWIT-1B,Y-CWIT-1B845D.3,05/27/2026 15:12
MSCU6016054,3135565,8YF180216,CWIT-1B,Y-CWIT-1B876J.2,05/27/2026 15:10
OOLU6010694,3135564,8YF180216,CWIT-4D,Y-CWIT-4D751A.1,05/27/2026 15:09
TRLU6012012,3135563,8YF180216,CWIT-4D,Y-CWIT-4D759H.4,05/27/2026 15:09
MAEU6011985,3135561,8YF180216,CWIT-1B,Y-CWIT-1B181K.5,05/27/2026 15:08
TRLU6010434,3135560,8YF180216,CWIT-1B,Y-CWIT-1B008A.5,05/27/2026 15:07
HLCU6009942,3135557,8YF180216,CWIT-1B,Y-CWIT-1B653G.2,05/27/2026 15:06
HLCU6015391,3135558,8YF180216,CWIT-5D,Y-CWIT-5D570K.2,05/27/2026 15:06
GCXU6012513,3135556,8YF180216,CWIT-1B,Y-CWIT-1B851M.1,05/27/2026 15:05
ONEY6012227,3135751,8YF180240,CWIT-4D,Y-CWIT-4D987E.1,05/27/2026 09:34
OOLU6011183,3135750,8YF180240,CWIT-4D,Y-CWIT-4D839J.5,05/27/2026 09:32
TRLU6014809,3135748,8YF180240,CWIT-2A,Y-CWIT-2A887C.1,05/27/2026 09:27
HLCU6016047,3135745,8YF180240,CWIT-2A,Y-CWIT-2A034C.2,05/27/2026 09:20
OOLU6011742,3135741,8YF180240,CWIT-2A,Y-CWIT-2A624J.4,05/27/2026 09:10
HLCU6015783,3135740,8YF180240,CWIT-5D,Y-CWIT-5D800B.1,05/27/2026 09:07
CMAU6009787,3135214,8YF180372,CWIT-3A,Y-CWIT-3A607H.5,05/27/2026 07:16
MSCU6016015,3135213,8YF180372,CWIT-3A,Y-CWIT-3A029D.6,05/27/2026 07:15
MAEU6011398,3135211,8YF180372,CWIT-3A,Y-CWIT-3A920C.5,05/27/2026 07:13
MAEU6016014,3135208,8YF180372,CWIT-3A,Y-CWIT-3A139G.6,05/27/2026 07:11
ONEY6016013,3135206,8YF180372,CWIT-3A,Y-CWIT-3A740L.4,05/27/2026 07:10
OOLU6012324,3135205,8YF180372,CWIT-3A,Y-CWIT-3A416J.5,05/27/2026 07:09
ONEY6010836,3135201,8YF180372,CWIT-3A,Y-CWIT-3A831N.3,05/27/2026 07:06
CMAU6015411,3134175,CQN180252,CWIT-3A,Y-CWIT-3A396G.3,05/27/2026 07:06
MSCU6015520,3135199,8YF180372,CWIT-3A,Y-CWIT-3A732B.1,05/27/2026 07:05
GCXU6012310,3134172,CQN180252,CWIT-3A,Y-CWIT-3A577D.6,05/27/2026 07:04
MAEU6008920,3135195,8YF180372,CWIT-2A,Y-CWIT-2A480B.2,05/27/2026 07:02
GCXU6009294,3134164,CQN180252,CWIT-1B,Y-CWIT-1B462N.6,05/27/2026 06:58
ONEY6010835,3135190,8YF180372,CWIT-3D,Y-CWIT-3D638A.3,05/27/2026 06:58
MAEU6009503,3135187,8YF180372,CWIT-3A,Y-CWIT-3A464J.6,05/27/2026 06:56
MAEU6013270,3134160,CQN180252,CWIT-3A,Y-CWIT-3A386N.6,05/27/2026 06:55
TRLU6015319,3135184,8YF180372,CWIT-3A,Y-CWIT-3A715J.4,05/27/2026 06:54
TRLU6011191,3135183,8YF180372,CWIT-4D,Y-CWIT-4D993D.4,05/27/2026 06:53
MAEU6010707,3135182,8YF180372,CWIT-3A,Y-CWIT-3A886F.6,05/27/2026 06:52
OOLU6008913,3135181,8YF180372,CWIT-3A,Y-CWIT-3A240J.5,05/27/2026 06:51
GCXU6010843,3134154,CQN180252,CWIT-3A,Y-CWIT-3A701E.3,05/27/2026 06:51
OOLU6014693,3134153,CQN180252,CWIT-3A,Y-CWIT-3A305G.1,05/27/2026 06:51
ONEY6009868,3135177,8YF180372,CWIT-3A,Y-CWIT-3A603J.3,05/27/2026 06:49
CMAU6014086,3134151,CQN180252,CWIT-5D,Y-CWIT-5D333E.2,05/27/2026 06:49
GCXU6014671,3134148,CQN180252,CWIT-4D,Y-CWIT-4D986K.6,05/27/2026 06:48
TRLU6011393,3135175,8YF180372,CWIT-3A,Y-CWIT-3A819D.6,05/27/2026 06:47
MAEU6015667,3134147,CQN180252,CWIT-1B,Y-CWIT-1B463G.4,05/27/2026 06:47
HLCU6008835,3135174,8YF180372,CWIT-3A,Y-CWIT-3A553J.2,05/27/2026 06:46
GCXU6016012,3135173,8YF180372,CWIT-3A,Y-CWIT-3A333E.5,05/27/2026 06:46
HLCU6008384,3134144,CQN180252,CWIT-3A,Y-CWIT-3A012G.4,05/27/2026 06:45
HLCU6016011,3135171,8YF180372,CWIT-3A,Y-CWIT-3A979M.5,05/27/2026 06:44
TRLU6009078,3134141,CQN180252,CWIT-3A,Y-CWIT-3A146D.3,05/27/2026 06:43
GCXU6010036,3135170,8YF180372,CWIT-3A,Y-CWIT-3A444N.5,05/27/2026 06:43
OOLU6012428,3134138,CQN180252,CWIT-2A,Y-CWIT-2A140L.3,05/27/2026 06:41
ONEY6012964,3134136,CQN180252,CWIT-3A,Y-CWIT-3A542J.1,05/27/2026 06:40
MSCU6010663,3135162,8YF180372,CWIT-3A,Y-CWIT-3A288N.6,05/27/2026 06:38
GCXU6012508,3134132,CQN180252,CWIT-5D,Y-CWIT-5D347N.2,05/27/2026 06:37
CMAU6012636,3135161,8YF180372,CWIT-3A,Y-CWIT-3A672L.6,05/27/2026 06:37
MAEU6014069,3135157,8YF180372,CWIT-3A,Y-CWIT-3A902H.5,05/27/2026 06:34
MSCU6015888,3134128,CQN180252,CWIT-4D,Y-CWIT-4D862L.6,05/27/2026 06:34
OOLU6009589,3134124,CQN180252,CWIT-3A,Y-CWIT-3A532N.2,05/27/2026 06:32
TRLU6008518,3134123,CQN180252,CWIT-3A,Y-CWIT-3A899E.4,05/27/2026 06:31
ONEY6016010,3135150,8YF180372,CWIT-3A,Y-CWIT-3A022C.6,05/27/2026 06:29
GCXU6013407,3134119,CQN180252,CWIT-3A,Y-CWIT-3A940D.1,05/27/2026 06:28
MAEU6015887,3134118,CQN180252,CWIT-3A,Y-CWIT-3A143G.3,05/27/2026 06:28
CMAU6015886,3134117,CQN180252,CWIT-3A,Y-CWIT-3A890J.2,05/27/2026 06:27
OOLU6010144,3134114,CQN180252,CWIT-3A,Y-CWIT-3A590K.6,05/27/2026 06:25
CMAU6009264,3134113,CQN180252,CWIT-3A,Y-CWIT-3A999B.6,05/27/2026 06:24
MSCU6009949,3134105,CQN180252,CWIT-2A,Y-CWIT-2A927J.5,05/27/2026 06:19
MAEU6009731,3134838,CMA180360,CWIT-4D,Y-CWIT-4D697C.6,05/27/2026 04:26
GCXU6012757,3134837,CMA180360,CWIT-3D,Y-CWIT-3D250E.6,05/27/2026 04:26
ONEY6015365,3134836,CMA180360,CWIT-3D,Y-CWIT-3D594N.6,05/27/2026 04:26
GCXU6012089,3134834,CMA180360,CWIT-3D,Y-CWIT-3D294F.2,05/27/2026 04:25
TRLU6008642,3134832,CMA180360,CWIT-3D,Y-CWIT-3D613H.1,05/27/2026 04:24
OOLU6015975,3134830,CMA180360,CWIT-3D,Y-CWIT-3D106B.1,05/27/2026 04:23
HLCU6015616,3134828,CMA180360,CWIT-3D,Y-CWIT-3D567N.2,05/27/2026 04:22
ONEY6015974,3134829,CMA180360,CWIT-3D,Y-CWIT-3D471J.2,05/27/2026 04:22
MAEU6009324,3134824,CMA180360,CWIT-3D,Y-CWIT-3D831D.5,05/27/2026 04:20
TRLU6013803,3134823,CMA180360,CWIT-5D,Y-CWIT-5D202M.4,05/27/2026 04:19
OOLU6013748,3134819,CMA180360,CWIT-3D,Y-CWIT-3D579H.6,05/27/2026 04:17
CMAU6012806,3134816,CMA180360,CWIT-3D,Y-CWIT-3D028F.6,05/27/2026 04:16
GCXU6009443,3134811,CMA180360,CWIT-5D,Y-CWIT-5D413H.5,05/27/2026 04:14
MAEU6014747,3134812,CMA180360,CWIT-2A,Y-CWIT-2A298N.6,05/27/2026 04:14
HLCU6008593,3134810,CMA180360,CWIT-3D,Y-CWIT-3D772J.1,05/27/2026 04:13
GCXU6011123,3134809,CMA180360,CWIT-3D,Y-CWIT-3D009L.3,05/27/2026 04:13
GCXU6015941,3134807,CMA180360,CWIT-3D,Y-CWIT-3D177G.3,05/27/2026 04:12
