Unit ID,Unit Visit Gkey,Complex Id,Facility Id,Yard Id,Category Id,Equipment Class,Container Length,Equipment type,Freight Kind,Destination,Unit Weight in kg,Verified Gross Mass (Kg),Reefer,OOG Unit,Hazardous Flag,Hazard UN Numbers,IMDG Code,Stow Code 1,Stow Code 2,Stow Code 3,Port of Discharge,Actual Inbound Carrier visit ID,Inbound Service,Actual Outbound Carrier visit ID,Outbound Service,Arrival Mode,Current Position,Visit State,Transit State,Time Out,Time In,Move Complete Time,Ctr From Position,Ctr To Position
MAEU6000007,3000011,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC40,40ft Hi-Cube Reefer,MTL,,13596.926142,14030.13096,Yes,No,No,,,,,,CNSHA,,,8YF180025,VS-PEB-03,TRUCK,V-8YF180025-248298,3DEPARTED,S70_DEPARTED,12/01/2025 19:54,12/01/2025 13:18,12/01/2025 17:58,Y-PEB-F18384C6,V-8YF180025-248298
MAEU6000007,3000012,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTL,,25749.858736,26101.41112,No,No,No,,,,,,SGSIN,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F78664C5,IN_YARD,S40_YARD,12/01/2025 22:31,12/01/2025 17:59,12/01/2025 17:59,V-8YF180025-777406,Y-PEB-F78664C5
HLCU6000009,3000013,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTY,,7760.15701,7879.88234,No,No,No,,,,,,CNNGB,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F44489C2,IN_YARD,S40_YARD,12/02/2025 00:11,12/01/2025 18:00,12/01/2025 18:00,V-8YF180025-794083,Y-PEB-F44489C2
MSCU6000010,3000014,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube Reefer,MTY,,22290.887666,22540.77709,Yes,No,No,,,,,,KRPUS,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F64640C3,IN_YARD,S40_YARD,12/02/2025 02:46,12/01/2025 18:01,12/01/2025 18:01,V-8YF180025-345369,Y-PEB-F64640C3
ONEY6000011,3000015,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTY,,17087.200745,17210.12692,No,No,No,,,,,,USLAX,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F75671C3,IN_YARD,S40_YARD,12/01/2025 23:54,12/01/2025 18:01,12/01/2025 18:01,V-8YF180025-154714,Y-PEB-F75671C3
MSCU6000005,3000016,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTY,,15479.576611,15903.54763,No,No,Yes,4,9,,,,CNNGB,,,8YF180025,VS-PEB-03,TRUCK,Y-PEB-F34159C1,IN_YARD,S40_YARD,12/01/2025 19:11,12/01/2025 16:17,12/01/2025 18:02,Y-PEB-F50574C3,Y-PEB-F34159C1
MSCU6000006,3000017,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC20,20ft Reefer,MTY,,22882.159657,,Yes,No,No,,,,,,CNNGB,,,8YF180025,VS-PEB-03,TRUCK,V-8YF180025-975522,3DEPARTED,S70_DEPARTED,12/01/2025 21:52,12/01/2025 16:27,12/01/2025 18:03,Y-PEB-F11942C2,V-8YF180025-975522
MSCU6000006,3000018,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,FCL,,9153.185104,9483.44986,No,No,Yes,8,1.1,,,,NLRTM,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F24747C4,IN_YARD,S40_YARD,12/01/2025 20:05,12/01/2025 18:04,12/01/2025 18:04,V-8YF180025-853448,Y-PEB-F24747C4
MSCU6000006,3000019,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTY,,4030.379687,4308.67715,No,No,No,,,,,,JPYOK,,,8YF180025,VS-PEB-03,TRUCK,Y-PEB-F35912C3,IN_YARD,S40_YARD,12/01/2025 20:48,12/01/2025 15:30,12/01/2025 18:05,Y-PEB-F75059C3,Y-PEB-F35912C3
OOLU6000012,3000020,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft Reefer,MTL,,12156.417745,12580.09039,Yes,No,No,,,,,,KRPUS,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F28627C1,IN_YARD,S40_YARD,12/02/2025 01:06,12/01/2025 18:06,12/01/2025 18:06,V-8YF180025-762423,Y-PEB-F28627C1
HLCU6000013,3000021,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,FCL,,11467.874601,11697.07543,No,No,No,,,,,,CNNGB,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F76234C3,IN_YARD,S40_YARD,12/01/2025 22:36,12/01/2025 18:06,12/01/2025 18:06,V-8YF180025-889882,Y-PEB-F76234C3
HLCU6000013,3000022,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTY,,28684.59551,29137.18238,No,No,No,,,,,,KRPUS,,,8YF180025,VS-PEB-03,TRUCK,Y-PEB-F92020C6,IN_YARD,S40_YARD,12/01/2025 21:16,12/01/2025 16:16,12/01/2025 18:07,Y-PEB-F91676C3,Y-PEB-F92020C6
OOLU6000014,3000023,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft Reefer,MTL,,10869.19848,11242.14679,Yes,No,Yes,8,6.1,,,,INMAA,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F54545C6,IN_YARD,S40_YARD,12/02/2025 03:00,12/01/2025 18:08,12/01/2025 18:08,V-8YF180025-744718,Y-PEB-F54545C6
OOLU6000012,3000024,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC20,20ft General,FCL,,27460.079299,27707.25707,No,No,Yes,4,6.1,,,,CNNGB,,,8YF180025,VS-PEB-03,TRUCK,V-8YF180025-490084,3DEPARTED,S70_DEPARTED,12/01/2025 19:23,12/01/2025 15:22,12/01/2025 18:09,Y-PEB-F79567C3,V-8YF180025-490084
HLCU6000009,3000025,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC40,40ft Hi-Cube General,FCL,,30815.601568,,No,No,No,,,,,,SGSIN,,,8YF180025,VS-PEB-03,TRUCK,V-8YF180025-567951,3DEPARTED,S70_DEPARTED,12/01/2025 21:00,12/01/2025 16:18,12/01/2025 18:10,Y-PEB-F89343C6,V-8YF180025-567951
MAEU6000007,3000026,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC20,20ft General,MTY,,7179.69092,7678.459,No,No,No,,,,,,INMAA,,,8YF180025,VS-PEB-03,TRUCK,V-8YF180025-668507,3DEPARTED,S70_DEPARTED,12/01/2025 20:04,12/01/2025 16:01,12/01/2025 18:10,Y-PEB-F82618C5,V-8YF180025-668507
HLCU6000015,3000027,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,FCL,,9102.085529,9314.48896,No,No,No,,,,,,CNSHA,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F18818C3,IN_YARD,S40_YARD,12/01/2025 22:59,12/01/2025 18:11,12/01/2025 18:11,V-8YF180025-741674,Y-PEB-F18818C3
OOLU6000012,3000028,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTY,,21270.157682,21626.20673,No,No,No,,,,,,CNSHA,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F23265C5,IN_YARD,S40_YARD,12/02/2025 02:35,12/01/2025 18:12,12/01/2025 18:12,V-8YF180025-905077,Y-PEB-F23265C5
MSCU6000005,3000029,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTL,,8764.108541,9047.61255,No,Yes,No,,,,,,NLRTM,,,8YF180025,VS-PEB-03,TRUCK,Y-PEB-F64621C5,IN_YARD,S40_YARD,12/01/2025 22:10,12/01/2025 15:56,12/01/2025 18:13,Y-PEB-F74048C5,Y-PEB-F64621C5
MSCU6000010,3000030,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTL,,3235.829106,3322.37939,No,No,No,,,,,,USLAX,,,8YF180025,VS-PEB-03,TRUCK,Y-PEB-F60990C5,IN_YARD,S40_YARD,12/02/2025 00:01,12/01/2025 16:39,12/01/2025 18:14,Y-PEB-F73291C1,Y-PEB-F60990C5
MSCU6000005,3000031,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC40,40ft Hi-Cube Reefer,FCL,,6742.41341,7001.41238,Yes,No,No,,,,,,INMAA,,,8YF180025,VS-PEB-03,TRUCK,V-8YF180025-639995,3DEPARTED,S70_DEPARTED,12/01/2025 20:12,12/01/2025 15:00,12/01/2025 18:15,Y-PEB-F50826C3,V-8YF180025-639995
MAEU6000003,3000032,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC20,20ft General,FCL,,10706.360149,11033.28,No,No,No,,,,,,CNSHA,,,8YF180025,VS-PEB-03,TRUCK,V-8YF180025-900190,3DEPARTED,S70_DEPARTED,12/01/2025 22:15,12/01/2025 16:37,12/01/2025 18:15,Y-PEB-F69150C2,V-8YF180025-900190
HLCU6000009,3000033,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,FCL,,8454.332676,8527.07586,No,No,No,,,,,,KRPUS,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F64911C1,IN_YARD,S40_YARD,12/01/2025 23:17,12/01/2025 18:16,12/01/2025 18:16,V-8YF180025-399628,Y-PEB-F64911C1
OOLU6000016,3000034,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTL,,18854.505955,19034.37672,No,No,No,,,,,,USLAX,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F73897C5,IN_YARD,S40_YARD,12/01/2025 21:07,12/01/2025 18:17,12/01/2025 18:17,V-8YF180025-965401,Y-PEB-F73897C5
HLCU6000015,3000035,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTY,,24648.955169,24928.0603,No,Yes,No,,,,,,CNSHA,,,8YF180025,VS-PEB-03,TRUCK,V-8YF180025-579187,3DEPARTED,S70_DEPARTED,12/01/2025 21:59,12/01/2025 16:42,12/01/2025 18:18,Y-PEB-F92370C5,V-8YF180025-579187
MSCU6000008,3000036,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTL,,27278.057821,27556.34956,No,No,No,,,,,,USLAX,,,8YF180025,VS-PEB-03,TRUCK,V-8YF180025-447329,3DEPARTED,S70_DEPARTED,12/01/2025 22:15,12/01/2025 14:37,12/01/2025 18:19,Y-PEB-F93512C3,V-8YF180025-447329
MSCU6000010,3000037,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTL,,25487.119743,25797.05522,No,No,No,,,,,,CNSHA,,,8YF180025,VS-PEB-03,TRUCK,Y-PEB-F13283C6,IN_YARD,S40_YARD,12/01/2025 19:25,12/01/2025 17:07,12/01/2025 18:20,Y-PEB-F94197C2,Y-PEB-F13283C6
MSCU6000005,3000038,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTL,,29615.628497,29996.75527,No,No,Yes,3,4.1,,,,KRPUS,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F48550C2,IN_YARD,S40_YARD,12/01/2025 23:33,12/01/2025 18:20,12/01/2025 18:20,V-8YF180025-651002,Y-PEB-F48550C2
MSCU6000010,3000039,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,FCL,,30720.121886,30904.44651,No,No,No,,,,,,USLAX,,,8YF180025,VS-PEB-03,TRUCK,Y-PEB-F67345C3,IN_YARD,S40_YARD,12/01/2025 22:44,12/01/2025 17:07,12/01/2025 18:21,Y-PEB-F42471C3,Y-PEB-F67345C3
MSCU6000017,3000040,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube Reefer,MTL,,4370.88308,4716.0705,Yes,No,No,,,,,,USLAX,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F81244C2,IN_YARD,S40_YARD,12/01/2025 21:08,12/01/2025 18:22,12/01/2025 18:22,V-8YF180025-689318,Y-PEB-F81244C2
MAEU6000003,3000041,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft Reefer,MTY,,11908.808705,12265.3451,Yes,No,Yes,9,3,,,,KRPUS,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F76635C3,IN_YARD,S40_YARD,12/01/2025 22:38,12/01/2025 18:23,12/01/2025 18:23,V-8YF180025-600641,Y-PEB-F76635C3
MAEU6000007,3000042,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,FCL,,14536.549467,15006.81464,No,No,Yes,7,9,,,,USLAX,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F10948C5,IN_YARD,S40_YARD,12/02/2025 00:37,12/01/2025 18:24,12/01/2025 18:24,V-8YF180025-139286,Y-PEB-F10948C5
ONEY6000018,3000043,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTY,,10185.112445,10383.92029,No,No,No,,,,,,CNSHA,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F85453C3,IN_YARD,S40_YARD,12/02/2025 00:23,12/01/2025 18:25,12/01/2025 18:25,V-8YF180025-114768,Y-PEB-F85453C3
OOLU6000019,3000044,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,FCL,,7543.436031,,No,No,No,,,,,,USLAX,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F34167C3,IN_YARD,S40_YARD,12/02/2025 03:06,12/01/2025 18:25,12/01/2025 18:25,V-8YF180025-502206,Y-PEB-F34167C3
ONEY6000018,3000045,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC40,40ft Hi-Cube General,FCL,,22033.583444,22155.45602,No,No,No,,,,,,USLAX,,,8YF180025,VS-PEB-03,TRUCK,V-8YF180025-744481,3DEPARTED,S70_DEPARTED,12/01/2025 22:19,12/01/2025 16:33,12/01/2025 18:26,Y-PEB-F75447C3,V-8YF180025-744481
HLCU6000015,3000046,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTL,,29383.906648,29794.80439,No,No,No,,,,,,SGSIN,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F55777C6,IN_YARD,S40_YARD,12/01/2025 22:59,12/01/2025 18:27,12/01/2025 18:27,V-8YF180025-651033,Y-PEB-F55777C6
HLCU6000020,3000047,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTL,,15255.21658,15627.82966,No,No,No,,,,,,KRPUS,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F15668C2,IN_YARD,S40_YARD,12/02/2025 00:03,12/01/2025 18:28,12/01/2025 18:28,V-8YF180025-947975,Y-PEB-F15668C2
ONEY6000018,3000048,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,FCL,,24374.134485,24444.5149,No,Yes,No,,,,,,CNNGB,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F58314C3,IN_YARD,S40_YARD,12/01/2025 23:20,12/01/2025 18:29,12/01/2025 18:29,V-8YF180025-172371,Y-PEB-F58314C3
OOLU6000019,3000049,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTY,,13269.366014,13617.17266,No,No,No,,,,,,INMAA,,,8YF180025,VS-PEB-03,TRUCK,V-8YF180025-654531,3DEPARTED,S70_DEPARTED,12/01/2025 22:26,12/01/2025 16:59,12/01/2025 18:29,Y-PEB-F28278C4,V-8YF180025-654531
MSCU6000008,3000050,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,FCL,,15818.758356,15953.57456,No,No,No,,,,,,CNNGB,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F77663C5,IN_YARD,S40_YARD,12/02/2025 01:52,12/01/2025 18:30,12/01/2025 18:30,V-8YF180025-948799,Y-PEB-F77663C5
OOLU6000019,3000051,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTL,,28166.372534,28236.27906,No,No,No,,,,,,CNNGB,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F61547C2,IN_YARD,S40_YARD,12/02/2025 02:14,12/01/2025 18:31,12/01/2025 18:31,V-8YF180025-246942,Y-PEB-F61547C2
OOLU6000021,3000052,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,FCL,,31570.866822,31806.96891,No,No,No,,,,,,CNSHA,8YF180025,VS-PEB-03,8YF180025,VS-PEB-03,VESSEL,Y-PEB-F79564C5,IN_YARD,S40_YARD,12/02/2025 00:00,12/01/2025 18:32,12/01/2025 18:32,V-8YF180025-756401,Y-PEB-F79564C5
MSCU6000017,3000209,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC20,20ft General,MTY,,21814.335392,,No,No,No,,,,,,JPYOK,,,CQN180121,VS-PEB-11,TRUCK,V-CQN180121-269833,3DEPARTED,S70_DEPARTED,12/02/2025 08:00,12/02/2025 02:03,12/02/2025 06:11,Y-PEB-G78351C3,V-CQN180121-269833
OOLU6000002,3000210,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC20,20ft General,MTY,,7337.884599,,No,No,No,,,,,,JPYOK,,,CQN180121,VS-PEB-11,TRUCK,V-CQN180121-250861,3DEPARTED,S70_DEPARTED,12/02/2025 08:28,12/02/2025 03:01,12/02/2025 06:11,Y-PEB-F76072C1,V-CQN180121-250861
MAEU6000046,3000211,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft Reefer,MTL,,23826.354545,23884.7987,Yes,No,No,,,,,,CNNGB,CQN180121,VS-PEB-11,CQN180121,VS-PEB-11,VESSEL,Y-PEB-F78059C3,IN_YARD,S40_YARD,12/02/2025 09:15,12/02/2025 06:11,12/02/2025 06:11,V-CQN180121-139673,Y-PEB-F78059C3
HLCU6000060,3000212,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTY,,27321.474611,27724.89638,No,Yes,No,,,,,,KRPUS,,,CQN180121,VS-PEB-11,TRUCK,Y-PEB-G79848C4,IN_YARD,S40_YARD,12/02/2025 12:11,12/02/2025 05:05,12/02/2025 06:11,Y-PEB-F64855C3,Y-PEB-G79848C4
ONEY6000031,3000213,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC40,40ft Hi-Cube Reefer,MTY,,24813.592426,24954.99664,Yes,No,No,,,,,,NLRTM,,,CQN180121,VS-PEB-11,TRUCK,V-CQN180121-761249,3DEPARTED,S70_DEPARTED,12/02/2025 08:40,12/02/2025 02:27,12/02/2025 06:12,Y-PEB-C81259C1,V-CQN180121-761249
OOLU6000002,3000214,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTL,,9154.55394,9561.28657,No,No,No,,,,,,KRPUS,CQN180121,VS-PEB-11,CQN180121,VS-PEB-11,VESSEL,Y-PEB-F13753C1,IN_YARD,S40_YARD,12/02/2025 10:34,12/02/2025 06:12,12/02/2025 06:12,V-CQN180121-117215,Y-PEB-F13753C1
ONEY6000064,3000215,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC20,20ft General,MTL,,17693.589179,18135.17919,No,No,No,,,,,,NLRTM,,,CQN180121,VS-PEB-11,TRUCK,V-CQN180121-785592,3DEPARTED,S70_DEPARTED,12/02/2025 09:56,12/02/2025 05:08,12/02/2025 06:13,Y-PEB-F13728C4,V-CQN180121-785592
MSCU6000067,3000216,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC20,20ft General,FCL,,29139.870519,29233.65203,No,No,No,,,,,,SGSIN,,,CQN180121,VS-PEB-11,TRUCK,V-CQN180121-937995,3DEPARTED,S70_DEPARTED,12/02/2025 07:24,12/02/2025 02:45,12/02/2025 06:13,Y-PEB-F21673C5,V-CQN180121-937995
OOLU6000022,3000217,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC40,40ft Hi-Cube General,MTL,,19279.010314,,No,No,No,,,,,,CNNGB,,,CQN180121,VS-PEB-11,TRUCK,V-CQN180121-226610,3DEPARTED,S70_DEPARTED,12/02/2025 09:30,12/02/2025 04:08,12/02/2025 06:14,Y-PEB-G27752C1,V-CQN180121-226610
HLCU6000025,3000218,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft General,MTL,,20373.245159,20430.27881,No,Yes,No,,,,,,CNSHA,CQN180121,VS-PEB-11,CQN180121,VS-PEB-11,VESSEL,Y-PEB-F82393C5,IN_YARD,S40_YARD,12/02/2025 14:26,12/02/2025 06:14,12/02/2025 06:14,V-CQN180121-193471,Y-PEB-F82393C5
CMAU6000026,3000219,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC20,20ft General,MTL,,15512.57393,15641.12095,No,No,No,,,,,,KRPUS,,,CQN180121,VS-PEB-11,TRUCK,V-CQN180121-464750,3DEPARTED,S70_DEPARTED,12/02/2025 08:55,12/02/2025 03:34,12/02/2025 06:14,Y-PEB-G19090C3,V-CQN180121-464750
MSCU6000041,3000220,USPEB,PEB,PEB,EXPRT,CONTAINER,BASIC20,20ft General,MTL,,21779.814752,21916.9883,No,No,No,,,,,,KRPUS,,,CQN180121,VS-PEB-11,TRUCK,V-CQN180121-145209,3DEPARTED,S70_DEPARTED,12/02/2025 08:20,12/02/2025 05:02,12/02/2025 06:15,Y-PEB-C28030C6,V-CQN180121-145209
MSCU6000041,3000221,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC40,40ft Hi-Cube Reefer,MTL,,3573.697386,3694.81791,Yes,Yes,Yes,9,2.1,,,,NLRTM,CQN180121,VS-PEB-11,CQN180121,VS-PEB-11,VESSEL,Y-PEB-F55585C5,IN_YARD,S40_YARD,12/02/2025 10:32,12/02/2025 06:15,12/02/2025 06:15,V-CQN180121-856445,Y-PEB-F55585C5
OOLU6000078,3000222,USPEB,PEB,PEB,IMPRT,CONTAINER,BASIC20,20ft Reefer,MTL,,14377.863721,14828.97804,Yes,No,Yes,8,1.1,,,,CNSHA,CQN180121,VS-PEB-11,CQN180121,VS-PEB-11,VESSEL,Y-PEB-F72468C2,IN_YARD,S40_YARD,12/02/2025 10:58,12/02/2025 06:15,12/02/2025 06:15,V-CQN180121-326665,Y-PEB-F72468C2
