Time Completed,Event Type,Move Kind,Unit Category,Unit Nbr,Crane CHE,From Position,To Position,Carrier Visit,Line Op,Exclude
25-Nov-25 2209,UNIT_DISCHARGE,Discharge,Import,OOLU6000012,STS02,V-8YF180025-762423,Y-PEB-F28627C1,8YF180025,MKL,No
25-Nov-25 2210,UNIT_DISCHARGE,Discharge,Transship,HLCU6000013,STS03,V-8YF180025-889882,Y-PEB-F76234C3,8YF180025,MKL,No
25-Nov-25 2210,UNIT_RESTOW,Restow,Transship,MAEU6000007,STS03,Y-PEB-F91676C3,Y-PEB-F92020C6,8YF180025,MKL,No
25-Nov-25 2211,UNIT_DISCHARGE,Discharge,Transship,OOLU6000014,STS02,V-8YF180025-744718,Y-PEB-F54545C6,8YF180025,MKL,Yes
25-Nov-25 2212,UNIT_LOAD,Load,Transship,MSCU6000008,STS03,Y-PEB-F79567C3,V-8YF180025-490084,8YF180025,MKL,No
25-Nov-25 2213,UNIT_LOAD,Load,Export,HLCU6000009,STS05,Y-PEB-F89343C6,V-8YF180025-567951,8YF180025,MKL,No
25-Nov-25 2214,UNIT_LOAD,Load,Transship,MAEU6000003,STS03,Y-PEB-F82618C5,V-8YF180025-668507,8YF180025,MKL,No
25-Nov-25 2215,UNIT_DISCHARGE,Discharge,Export,HLCU6000015,STS03,V-8YF180025-741674,Y-PEB-F18818C3,8YF180025,MKL,Yes
25-Nov-25 2215,UNIT_DISCHARGE,Discharge,Transship,HLCU6000009,STS02,V-8YF180025-905077,Y-PEB-F23265C5,8YF180025,MKL,No
25-Nov-25 2216,UNIT_RESTOW,Restow,Export,GCXU6000001,STS02,Y-PEB-F74048C5,Y-PEB-F64621C5,8YF180025,MKL,No
25-Nov-25 2217,UNIT_RESTOW,Restow,Import,OOLU6000014,STS02,Y-PEB-F73291C1,Y-PEB-F60990C5,8YF180025,MKL,Yes
25-Nov-25 2218,UNIT_LOAD,Load,Import,GCXU6000001,STS02,Y-PEB-F50826C3,V-8YF180025-639995,8YF180025,MKL,No
25-Nov-25 2219,UNIT_LOAD,Load,Import,OOLU6000012,STS05,Y-PEB-F69150C2,V-8YF180025-900190,8YF180025,MKL,No
25-Nov-25 2220,UNIT_DISCHARGE,Discharge,Import,MSCU6000008,STS03,V-8YF180025-399628,Y-PEB-F64911C1,8YF180025,MKL,No
25-Nov-25 2220,UNIT_DISCHARGE,Discharge,Transship,OOLU6000016,STS05,V-8YF180025-965401,Y-PEB-F73897C5,8YF180025,MKL,No
25-Nov-25 2221,UNIT_LOAD,Load,Transship,OOLU6000016,STS05,Y-PEB-F92370C5,V-8YF180025-579187,8YF180025,MKL,No
25-Nov-25 2222,UNIT_LOAD,Load,Export,MSCU6000006,STS05,Y-PEB-F93512C3,V-8YF180025-447329,8YF180025,MKL,No
25-Nov-25 2223,UNIT_RESTOW,Restow,Import,HLCU6000009,STS05,Y-PEB-F94197C2,Y-PEB-F13283C6,8YF180025,MKL,No
25-Nov-25 2224,UNIT_DISCHARGE,Discharge,Export,GCXU6000001,STS05,V-8YF180025-651002,Y-PEB-F48550C2,8YF180025,MKL,No
25-Nov-25 2224,UNIT_RESTOW,Restow,Import,MSCU6000008,STS05,Y-PEB-F42471C3,Y-PEB-F67345C3,8YF180025,MKL,No
25-Nov-25 2225,UNIT_DISCHARGE,Discharge,Export,MSCU6000017,STS03,V-8YF180025-689318,Y-PEB-F81244C2,8YF180025,MKL,No
25-Nov-25 2226,UNIT_DISCHARGE,Discharge,Export,OOLU6000012,STS02,V-8YF180025-600641,Y-PEB-F76635C3,8YF180025,MKL,No
25-Nov-25 2227,UNIT_DISCHARGE,Discharge,Import,MAEU6000003,STS05,V-8YF180025-139286,Y-PEB-F10948C5,8YF180025,MKL,Yes
25-Nov-25 2228,UNIT_DISCHARGE,Discharge,Transship,ONEY6000018,STS02,V-8YF180025-114768,Y-PEB-F85453C3,8YF180025,MKL,Yes
25-Nov-25 2229,UNIT_DISCHARGE,Discharge,Import,OOLU6000019,STS03,V-8YF180025-502206,Y-PEB-F34167C3,8YF180025,MKL,No
25-Nov-25 2230,UNIT_LOAD,Load,Import,HLCU6000015,STS02,Y-PEB-F75447C3,V-8YF180025-744481,8YF180025,MKL,Yes
25-Nov-25 2230,UNIT_DISCHARGE,Discharge,Export,HLCU6000015,STS02,V-8YF180025-651033,Y-PEB-F55777C6,8YF180025,MKL,No
25-Nov-25 2231,UNIT_DISCHARGE,Discharge,Import,HLCU6000020,STS03,V-8YF180025-947975,Y-PEB-F15668C2,8YF180025,MKL,No
25-Nov-25 2232,UNIT_DISCHARGE,Discharge,Transship,MSCU6000006,STS03,V-8YF180025-172371,Y-PEB-F58314C3,8YF180025,MKL,Yes
25-Nov-25 2233,UNIT_LOAD,Load,Transship,MSCU6000017,STS02,Y-PEB-F28278C4,V-8YF180025-654531,8YF180025,MKL,No
25-Nov-25 2233,UNIT_DISCHARGE,Discharge,Transship,MSCU6000017,STS02,V-8YF180025-948799,Y-PEB-F77663C5,8YF180025,MKL,No
25-Nov-25 2234,UNIT_DISCHARGE,Discharge,Export,OOLU6000016,STS03,V-8YF180025-246942,Y-PEB-F61547C2,8YF180025,MKL,No
25-Nov-25 2235,UNIT_DISCHARGE,Discharge,Import,OOLU6000021,STS03,V-8YF180025-756401,Y-PEB-F79564C5,8YF180025,MKL,Yes
25-Nov-26 1014,UNIT_LOAD,Load,Transship,HLCU6000015,STS03,Y-PEB-G78351C3,V-CQN180121-269833,CQN180121,MKL,Yes
25-Nov-26 1014,UNIT_LOAD,Load,Export,MAEU6000004,STS04,Y-PEB-F76072C1,V-CQN180121-250861,CQN180121,MKL,Yes
25-Nov-26 1014,UNIT_DISCHARGE,Discharge,Import,CMAU6000044,STS03,V-CQN180121-139673,Y-PEB-F78059C3,CQN180121,MKL,No
25-Nov-26 1015,UNIT_RESTOW,Restow,Export,TRLU6000073,STS04,Y-PEB-F64855C3,Y-PEB-G79848C4,CQN180121,MKL,No
25-Nov-26 1015,UNIT_LOAD,Load,Export,HLCU6000076,STS03,Y-PEB-C81259C1,V-CQN180121-761249,CQN180121,MKL,No
25-Nov-26 1016,UNIT_DISCHARGE,Discharge,Export,HLCU6000015,STS04,V-CQN180121-117215,Y-PEB-F13753C1,CQN180121,MKL,Yes
25-Nov-26 1016,UNIT_LOAD,Load,Export,ONEY6000028,STS04,Y-PEB-F13728C4,V-CQN180121-785592,CQN180121,MKL,No
25-Nov-26 1016,UNIT_LOAD,Load,Transship,MAEU6000029,STS03,Y-PEB-F21673C5,V-CQN180121-937995,CQN180121,MKL,No
25-Nov-26 1017,UNIT_LOAD,Load,Transship,MSCU6000008,STS02,Y-PEB-G27752C1,V-CQN180121-226610,CQN180121,MKL,No
25-Nov-26 1017,UNIT_DISCHARGE,Discharge,Import,MAEU6000029,STS03,V-CQN180121-193471,Y-PEB-F82393C5,CQN180121,MKL,No
25-Nov-26 1018,UNIT_LOAD,Load,Transship,GCXU6000045,STS04,Y-PEB-G19090C3,V-CQN180121-464750,CQN180121,MKL,No
25-Nov-26 1018,UNIT_LOAD,Load,Transship,MSCU6000067,STS03,Y-PEB-C28030C6,V-CQN180121-145209,CQN180121,MKL,No
25-Nov-26 1018,UNIT_DISCHARGE,Discharge,Transship,MSCU6000067,STS02,V-CQN180121-856445,Y-PEB-F55585C5,CQN180121,MKL,No
25-Nov-26 1019,UNIT_DISCHARGE,Discharge,Transship,OOLU6000078,STS03,V-CQN180121-326665,Y-PEB-F72468C2,CQN180121,MKL,No
25-Nov-26 1019,UNIT_RESTOW,Restow,Transship,MSCU6000005,STS03,Y-PEB-F71830C6,Y-PEB-C72631C5,CQN180121,MKL,Yes
25-Nov-26 1020,UNIT_DISCHARGE,Discharge,Transship,HLCU6000079,STS04,V-CQN180121-720517,Y-PEB-F25283C1,CQN180121,MKL,Yes
25-Nov-26 1020,UNIT_DISCHARGE,Discharge,Import,MSCU6000008,STS01,V-CQN180121-826830,Y-PEB-F84962C2,CQN180121,MKL,No
25-Nov-26 1020,UNIT_DISCHARGE,Discharge,Export,HLCU6000076,STS04,V-CQN180121-293929,Y-PEB-F90857C6,CQN180121,MKL,No
25-Nov-26 1021,UNIT_RESTOW,Restow,Export,MAEU6000054,STS04,Y-PEB-G85317C5,Y-PEB-C79056C1,CQN180121,MKL,No
25-Nov-26 1021,UNIT_DISCHARGE,Discharge,Import,MSCU6000050,STS05,V-CQN180121-889759,Y-PEB-F86238C3,CQN180121,MKL,Yes
25-Nov-26 1021,UNIT_RESTOW,Restow,Transship,CMAU6000062,STS03,Y-PEB-C47696C6,Y-PEB-G92818C2,CQN180121,MKL,No
25-Nov-26 1022,UNIT_DISCHARGE,Discharge,Import,MAEU6000004,STS03,V-CQN180121-536770,Y-PEB-F79879C2,CQN180121,MKL,No
25-Nov-26 1022,UNIT_RESTOW,Restow,Import,ONEY6000064,STS01,Y-PEB-C78199C5,Y-PEB-G96280C4,CQN180121,MKL,No
25-Nov-26 1022,UNIT_DISCHARGE,Discharge,Transship,GCXU6000045,STS01,V-CQN180121-291134,Y-PEB-F27998C6,CQN180121,MKL,No
25-Nov-26 1023,UNIT_LOAD,Load,Import,ONEY6000018,STS01,Y-PEB-G26678C3,V-CQN180121-227391,CQN180121,MKL,Yes
25-Nov-26 1023,UNIT_RESTOW,Restow,Import,MSCU6000065,STS04,Y-PEB-G55253C6,Y-PEB-G21571C1,CQN180121,MKL,Yes
25-Nov-26 1024,UNIT_LOAD,Load,Transship,MSCU6000055,STS05,Y-PEB-F12320C5,V-CQN180121-990714,CQN180121,MKL,Yes
25-Nov-26 1024,UNIT_DISCHARGE,Discharge,Export,ONEY6000018,STS03,V-CQN180121-468422,Y-PEB-F41567C5,CQN180121,MKL,Yes
25-Nov-26 1024,UNIT_LOAD,Load,Export,HLCU6000013,STS02,Y-PEB-G44318C5,V-CQN180121-892843,CQN180121,MKL,Yes
25-Nov-26 1025,UNIT_DISCHARGE,Discharge,Transship,MSCU6000055,STS01,V-CQN180121-686448,Y-PEB-F85769C2,CQN180121,MKL,No
25-Nov-26 1025,UNIT_DISCHARGE,Discharge,Import,HLCU6000013,STS05,V-CQN180121-617000,Y-PEB-F16886C6,CQN180121,MKL,Yes
25-Nov-26 1026,UNIT_DISCHARGE,Discharge,Export,ONEY6000080,STS02,V-CQN180121-474745,Y-PEB-F26716C3,CQN180121,MKL,No
25-Nov-26 1026,UNIT_LOAD,Load,Transship,MSCU6000053,STS04,Y-PEB-C80199C6,V-CQN180121-480132,CQN180121,MKL,No
25-Nov-26 1026,UNIT_LOAD,Load,Transship,MSCU6000067,STS03,Y-PEB-G72898C5,V-CQN180121-987168,CQN180121,MKL,Yes
25-Nov-26 1027,UNIT_DISCHARGE,Discharge,Transship,TRLU6000081,STS01,V-CQN180121-280572,Y-PEB-F82648C1,CQN180121,MKL,No
25-Nov-26 1027,UNIT_DISCHARGE,Discharge,Transship,MSCU6000082,STS04,V-CQN180121-119719,Y-PEB-F89371C4,CQN180121,MKL,No
25-Nov-26 1028,UNIT_LOAD,Load,Export,OOLU6000077,STS02,Y-PEB-G30433C6,V-CQN180121-468609,CQN180121,MKL,No
25-Nov-26 1028,UNIT_DISCHARGE,Discharge,Import,MSCU6000053,STS02,V-CQN180121-860583,Y-PEB-F20137C5,CQN180121,MKL,No
25-Nov-26 1028,UNIT_DISCHARGE,Discharge,Export,ONEY6000028,STS02,V-CQN180121-215674,Y-PEB-F63227C4,CQN180121,MKL,No
25-Nov-26 1029,UNIT_RESTOW,Restow,Export,OOLU6000016,STS04,Y-PEB-C29318C4,Y-PEB-C79557C2,CQN180121,MKL,Yes
25-Nov-26 1029,UNIT_LOAD,Load,Transship,TRLU6000073,STS03,Y-PEB-C30353C2,V-CQN180121-723861,CQN180121,MKL,Yes
25-Nov-26 1030,UNIT_RESTOW,Restow,Transship,ONEY6000064,STS04,Y-PEB-F21025C3,Y-PEB-C60173C2,CQN180121,MKL,No
25-Nov-26 1030,UNIT_LOAD,Load,Import,MAEU6000029,STS05,Y-PEB-C30647C6,V-CQN180121-622084,CQN180121,MKL,No
25-Nov-26 1030,UNIT_LOAD,Load,Transship,GCXU6000001,STS05,Y-PEB-G26872C4,V-CQN180121-241021,CQN180121,MKL,Yes
25-Nov-26 1031,UNIT_DISCHARGE,Discharge,Transship,GCXU6000001,STS01,V-CQN180121-903702,Y-PEB-F39151C1,CQN180121,MKL,No
25-Nov-26 1031,UNIT_DISCHARGE,Discharge,Transship,MSCU6000067,STS02,V-CQN180121-721314,Y-PEB-F18698C1,CQN180121,MKL,No
25-Nov-26 1031,UNIT_LOAD,Load,Transship,OOLU6000014,STS01,Y-PEB-C48683C4,V-CQN180121-438083,CQN180121,MKL,No
25-Nov-26 1032,UNIT_LOAD,Load,Export,MSCU6000008,STS04,Y-PEB-C37116C3,V-CQN180121-701380,CQN180121,MKL,No
25-Nov-26 1032,UNIT_DISCHARGE,Discharge,Import,MAEU6000029,STS02,V-CQN180121-553939,Y-PEB-F77979C3,CQN180121,MKL,Yes
25-Nov-26 1033,UNIT_DISCHARGE,Discharge,Import,TRLU6000073,STS05,V-CQN180121-380951,Y-PEB-F75378C5,CQN180121,MKL,No
25-Nov-26 1033,UNIT_DISCHARGE,Discharge,Export,OOLU6000014,STS01,V-CQN180121-764721,Y-PEB-F30862C3,CQN180121,MKL,No
25-Nov-26 1033,UNIT_DISCHARGE,Discharge,Transship,OOLU6000077,STS04,V-CQN180121-542519,Y-PEB-F76214C2,CQN180121,MKL,No
25-Nov-26 1034,UNIT_DISCHARGE,Discharge,Transship,CMAU6000083,STS03,V-CQN180121-166670,Y-PEB-F51656C6,CQN180121,MKL,No
25-Nov-26 1034,UNIT_DISCHARGE,Discharge,Transship,MSCU6000008,STS01,V-CQN180121-944986,Y-PEB-F86640C4,CQN180121,MKL,No
25-Nov-26 1035,UNIT_DISCHARGE,Discharge,Import,CMAU6000084,STS02,V-CQN180121-391224,Y-PEB-F90328C3,CQN180121,MKL,No
25-Nov-26 1035,UNIT_DISCHARGE,Discharge,Import,GCXU6000085,STS02,V-CQN180121-660894,Y-PEB-F98740C4,CQN180121,MKL,No
25-Nov-26 1035,UNIT_DISCHARGE,Discharge,Import,TRLU6000086,STS02,V-CQN180121-387348,Y-PEB-F98720C4,CQN180121,MKL,Yes
25-Nov-26 1036,UNIT_DISCHARGE,Discharge,Import,TRLU6000087,STS01,V-CQN180121-898989,Y-PEB-F15392C6,CQN180121,MKL,No
25-Nov-26 1036,UNIT_DISCHARGE,Discharge,Import,MAEU6000088,STS03,V-CQN180121-988102,Y-PEB-F70897C4,CQN180121,MKL,Yes
25-Nov-26 1036,UNIT_LOAD,Load,Transship,CMAU6000038,STS03,Y-PEB-G32912C1,V-CQN180121-685661,CQN180121,MKL,No
25-Nov-26 1037,UNIT_DISCHARGE,Discharge,Import,CMAU6000038,STS03,V-CQN180121-114800,Y-PEB-F83577C4,CQN180121,MKL,No
25-Nov-26 1037,UNIT_LOAD,Load,Import,MSCU6000033,STS02,Y-PEB-G79334C4,V-CQN180121-289131,CQN180121,MKL,No
25-Nov-26 1038,UNIT_DISCHARGE,Discharge,Export,MSCU6000033,STS04,V-CQN180121-842866,Y-PEB-F53386C3,CQN180121,MKL,No
25-Nov-26 1038,UNIT_DISCHARGE,Discharge,Import,OOLU6000089,STS02,V-CQN180121-105621,Y-PEB-F35974C5,CQN180121,MKL,No
25-Nov-26 1039,UNIT_DISCHARGE,Discharge,Import,GCXU6000090,STS02,V-CQN180121-428486,Y-PEB-F14526C4,CQN180121,MKL,Yes
25-Nov-26 1039,UNIT_DISCHARGE,Discharge,Transship,CMAU6000091,STS01,V-CQN180121-682667,Y-PEB-F97394C6,CQN180121,MKL,No
25-Nov-26 1039,UNIT_LOAD,Load,Transship,MAEU6000003,STS04,Y-PEB-C46581C4,V-CQN180121-579995,CQN180121,MKL,No
25-Nov-26 1040,UNIT_DISCHARGE,Discharge,Transship,MAEU6000003,STS01,V-CQN180121-651567,Y-PEB-F88583C2,CQN180121,MKL,Yes
25-Nov-26 1040,UNIT_LOAD,Load,Import,MSCU6000033,STS02,Y-PEB-C25713C1,V-CQN180121-582589,CQN180121,MKL,No
25-Nov-26 1040,UNIT_DISCHARGE,Discharge,Import,MSCU6000033,STS02,V-CQN180121-879930,Y-PEB-F17280C5,CQN180121,MKL,No
25-Nov-26 1041,UNIT_DISCHARGE,Discharge,Import,HLCU6000092,STS05,V-CQN180121-413048,Y-PEB-F60265C6,CQN180121,MKL,No
25-Nov-26 1041,UNIT_LOAD,Load,Transship,MAEU6000035,STS05,Y-PEB-C93057C5,V-CQN180121-295408,CQN180121,MKL,No
25-Nov-26 1041,UNIT_DISCHARGE,Discharge,Transship,HLCU6000093,STS05,V-CQN180121-414985,Y-PEB-F25226C6,CQN180121,MKL,Yes
25-Nov-26 1042,UNIT_DISCHARGE,Discharge,Transship,MAEU6000035,STS04,V-CQN180121-472724,Y-PEB-F36084C1,CQN180121,MKL,Yes
25-Nov-26 1042,UNIT_LOAD,Load,Export,CMAU6000049,STS05,Y-PEB-G92743C3,V-CQN180121-949352,CQN180121,MKL,No
25-Nov-26 1043,UNIT_DISCHARGE,Discharge,Export,TRLU6000094,STS05,V-CQN180121-789666,Y-PEB-F86287C6,CQN180121,MKL,No
25-Nov-26 1043,UNIT_LOAD,Load,Export,MSCU6000033,STS01,Y-PEB-C76428C6,V-CQN180121-353524,CQN180121,MKL,No
25-Nov-26 1043,UNIT_LOAD,Load,Import,ONEY6000031,STS04,Y-PEB-F98067C5,V-CQN180121-354415,CQN180121,MKL,No
25-Nov-26 1044,UNIT_LOAD,Load,Export,ONEY6000011,STS03,Y-PEB-F59961C4,V-CQN180121-638292,CQN180121,MKL,No
25-Nov-26 1044,UNIT_LOAD,Load,Import,HLCU6000025,STS03,Y-PEB-C81465C1,V-CQN180121-269170,CQN180121,MKL,No
25-Nov-26 1045,UNIT_LOAD,Load,Import,MSCU6000082,STS03,Y-PEB-G82859C4,V-CQN180121-973548,CQN180121,MKL,No
25-Nov-26 1045,UNIT_DISCHARGE,Discharge,Transship,ONEY6000031,STS02,V-CQN180121-418402,Y-PEB-F34036C5,CQN180121,MKL,No
25-Nov-26 1045,UNIT_DISCHARGE,Discharge,Import,MSCU6000033,STS04,V-CQN180121-689280,Y-PEB-F32972C3,CQN180121,MKL,No
25-Nov-26 1046,UNIT_DISCHARGE,Discharge,Export,TRLU6000095,STS04,V-CQN180121-963617,Y-PEB-F67515C5,CQN180121,MKL,No
25-Nov-26 1046,UNIT_DISCHARGE,Discharge,Transship,MSCU6000096,STS01,V-CQN180121-989816,Y-PEB-C30666C4,CQN180121,MKL,Yes
25-Nov-26 1047,UNIT_LOAD,Load,Export,MSCU6000068,STS02,Y-PEB-F24164C4,V-CQN180121-529191,CQN180121,MKL,No
25-Nov-26 1047,UNIT_DISCHARGE,Discharge,Export,CMAU6000049,STS02,V-CQN180121-702466,Y-PEB-C15990C6,CQN180121,MKL,Yes
25-Nov-26 1047,UNIT_DISCHARGE,Discharge,Import,MSCU6000082,STS04,V-CQN180121-831351,Y-PEB-C45393C4,CQN180121,MKL,No
25-Nov-26 1048,UNIT_DISCHARGE,Discharge,Import,HLCU6000025,STS03,V-CQN180121-124559,Y-PEB-C12879C5,CQN180121,MKL,No
25-Nov-26 1048,UNIT_DISCHARGE,Discharge,Export,MSCU6000068,STS05,V-CQN180121-575159,Y-PEB-C44740C6,CQN180121,MKL,No
25-Nov-26 1048,UNIT_DISCHARGE,Discharge,Import,ONEY6000011,STS04,V-CQN180121-576378,Y-PEB-C20028C6,CQN180121,MKL,No
25-Nov-26 1049,UNIT_DISCHARGE,Discharge,Import,GCXU6000097,STS03,V-CQN180121-376502,Y-PEB-C69873C6,CQN180121,MKL,Yes
25-Nov-26 1149,UNIT_DISCHARGE,Discharge,Import,OOLU6000022,STS03,V-8YF180025-944917,Y-PEB-F57417C5,8YF180025,MKL,No
25-Nov-26 1149,UNIT_LOAD,Load,Import,MAEU6000003,STS05,Y-PEB-F29285C6,V-8YF180025-804066,8YF180025,MKL,No
25-Nov-26 1150,UNIT_DISCHARGE,Discharge,Import,MAEU6000003,STS05,V-8YF180025-913185,Y-PEB-F38958C4,8YF180025,MKL,No
25-Nov-26 1151,UNIT_DISCHARGE,Discharge,Export,OOLU6000023,STS03,V-8YF180025-877259,Y-PEB-F24912C3,8YF180025,MKL,Yes
25-Nov-26 1151,UNIT_LOAD,Load,Import,MSCU6000008,STS02,Y-PEB-F84092C6,V-8YF180025-614426,8YF180025,MKL,No
25-Nov-26 1152,UNIT_DISCHARGE,Discharge,Transship,MSCU6000008,STS02,V-8YF180025-901467,Y-PEB-F10662C2,8YF180025,MKL,No
25-Nov-26 1153,UNIT_DISCHARGE,Discharge,Export,GCXU6000024,STS03,V-8YF180025-106933,Y-PEB-F64480C4,8YF180025,MKL,No
25-Nov-26 1153,UNIT_LOAD,Load,Transship,OOLU6000016,STS03,Y-PEB-F37360C1,V-8YF180025-491172,8YF180025,MKL,No
25-Nov-26 1154,UNIT_DISCHARGE,Discharge,Transship,OOLU6000016,STS03,V-8YF180025-776234,Y-PEB-F90352C5,8YF180025,MKL,No
25-Nov-26 1155,UNIT_DISCHARGE,Discharge,Export,HLCU6000025,STS05,V-8YF180025-116418,Y-PEB-F31285C2,8YF180025,MKL,No
25-Nov-26 1156,UNIT_DISCHARGE,Discharge,Import,CMAU6000026,STS02,V-8YF180025-928897,Y-PEB-F80520C5,8YF180025,MKL,No
25-Nov-26 1156,UNIT_LOAD,Load,Export,HLCU6000015,STS03,Y-PEB-F60239C3,V-8YF180025-679902,8YF180025,MKL,Yes
25-Nov-26 1157,UNIT_DISCHARGE,Discharge,Transship,HLCU6000015,STS02,V-8YF180025-105447,Y-PEB-F41566C3,8YF180025,MKL,No
25-Nov-26 1157,UNIT_RESTOW,Restow,Transship,MAEU6000004,STS03,Y-PEB-F39862C4,Y-PEB-F89720C6,8YF180025,MKL,No
25-Nov-26 1158,UNIT_DISCHARGE,Discharge,Export,MAEU6000027,STS03,V-8YF180025-478666,Y-PEB-F35741C6,8YF180025,MKL,No
25-Nov-26 1159,UNIT_DISCHARGE,Discharge,Import,ONEY6000028,STS03,V-8YF180025-551533,Y-PEB-F93593C5,8YF180025,MKL,No
25-Nov-26 1200,UNIT_LOAD,Load,Export,MSCU6000017,STS03,Y-PEB-F48545C4,V-8YF180025-482746,8YF180025,MKL,No
25-Nov-26 1200,UNIT_DISCHARGE,Discharge,Import,MSCU6000017,STS03,V-8YF180025-805668,Y-PEB-F61127C6,8YF180025,MKL,No
25-Nov-26 1201,UNIT_DISCHARGE,Discharge,Transship,MAEU6000029,STS02,V-8YF180025-929130,Y-PEB-F46899C5,8YF180025,MKL,No
25-Nov-26 1201,UNIT_DISCHARGE,Discharge,Export,OOLU6000030,STS03,V-8YF180025-211090,Y-PEB-C11022C3,8YF180025,MKL,No
25-Nov-26 1202,UNIT_DISCHARGE,Discharge,Import,ONEY6000031,STS02,V-8YF180025-221707,Y-PEB-C95128C3,8YF180025,MKL,Yes
25-Nov-26 1203,UNIT_DISCHARGE,Discharge,Export,OOLU6000032,STS02,V-8YF180025-779445,Y-PEB-C21196C2,8YF180025,MKL,No
25-Nov-26 1203,UNIT_DISCHARGE,Discharge,Import,MSCU6000033,STS02,V-8YF180025-873207,Y-PEB-C72835C4,8YF180025,MKL,No
25-Nov-26 1204,UNIT_DISCHARGE,Discharge,Import,HLCU6000034,STS03,V-8YF180025-375097,Y-PEB-C78672C5,8YF180025,MKL,Yes
25-Nov-26 1205,UNIT_DISCHARGE,Discharge,Transship,MAEU6000035,STS02,V-8YF180025-804758,Y-PEB-C23750C1,8YF180025,MKL,No
25-Nov-26 1206,UNIT_DISCHARGE,Discharge,Import,MSCU6000036,STS05,V-8YF180025-681868,Y-PEB-C27072C3,8YF180025,MKL,No
25-Nov-26 1206,UNIT_DISCHARGE,Discharge,Export,OOLU6000037,STS02,V-8YF180025-844638,Y-PEB-C96066C4,8YF180025,MKL,No
25-Nov-26 1207,UNIT_DISCHARGE,Discharge,Import,CMAU6000038,STS03,V-8YF180025-700534,Y-PEB-C21644C5,8YF180025,MKL,No
25-Nov-26 1208,UNIT_DISCHARGE,Discharge,Transship,ONEY6000039,STS02,V-8YF180025-465509,Y-PEB-C98221C4,8YF180025,MKL,No
25-Nov-26 1208,UNIT_DISCHARGE,Discharge,Export,OOLU6000040,STS03,V-8YF180025-439375,Y-PEB-C82047C3,8YF180025,MKL,No
